signal_id,timestamp,domain,zone,rr_type,algorithm,digest_type,key_tag,flags,source,measurement_id,row_index,origin_file
sig_0027,2016-03-10T02:52:46,ecdsa-demo.com,com,DNSKEY,13,,,,zonefile-com,oi-2016-03-10-0045,26,sample_openintel.parquet
sig_0028,2016-04-05T04:03:19,dnssec-demo.org,org,DNSKEY,8,,,,zonefile-org,oi-2016-04-05-0066,27,sample_openintel.parquet
sig_0029,2016-05-30T02:02:59,example.nl,nl,CDS,0,0,,,zonefile-nl,oi-2016-05-30-0016,28,sample_openintel.parquet
sig_0030,2016-07-13T00:02:05,example.org,org,DS,8,2,,,zonefile-org,oi-2016-07-13-0032,29,sample_openintel.parquet
sig_0031,2016-08-04T04:14:03,example.com,com,NSEC3,1,,,,zonefile-com,oi-2016-08-04-0024,30,sample_openintel.parquet
sig_0032,2016-11-02T04:18:00,keyroll.nu,nu,CDS,0,0,,,zonefile-nu,oi-2016-11-02-0017,31,sample_openintel.parquet
sig_0033,2016-11-28T04:53:55,example.net,net,DNSKEY,14,,,,zonefile-net,oi-2016-11-28-0049,32,sample_openintel.parquet
sig_0034,2017-06-23T03:55:20,example.org,org,RRSIG,13,,,,zonefile-org,oi-2017-06-23-0046,33,sample_openintel.parquet
sig_0035,2017-08-15T05:53:30,example.nl,nl,RRSIG,8,,,,zonefile-nl,oi-2017-08-15-0067,34,sample_openintel.parquet
sig_0036,2017-10-26T03:24:35,keyroll.nu,nu,DS,8,2,,,zonefile-nu,oi-2017-10-26-0033,35,sample_openintel.parquet
sig_0037,2017-11-21T00:58:02,example.nl,nl,NSEC3PARAM,1,,,,zonefile-nl,oi-2017-11-21-0025,36,sample_openintel.parquet
sig_0038,2018-01-08T00:40:20,eddsa-demo.se,se,DNSKEY,15,,,,zonefile-se,oi-2018-01-08-0052,37,sample_openintel.parquet
sig_0039,2018-02-06T05:03:52,example.com,com,DS,8,2,,,zonefile-com,oi-2018-02-06-0034,38,sample_openintel.parquet
sig_0040,2018-03-08T02:11:22,dnssec-demo.org,org,NSEC3,1,,,,zonefile-org,oi-2018-03-08-0026,39,sample_openintel.parquet
sig_0041,2018-04-09T04:50:52,example.net,net,RRSIG,14,,,,zonefile-net,oi-2018-04-09-0050,40,sample_openintel.parquet
sig_0042,2018-05-01T04:39:40,delete-signal.nl,nl,CDS,0,0,,,zonefile-nl,oi-2018-05-01-0001,41,sample_openintel.parquet
sig_0043,2018-06-14T03:31:02,example.com,com,CDS,0,0,,,zonefile-com,oi-2018-06-14-0002,42,sample_openintel.parquet
sig_0044,2018-08-14T04:14:14,keyroll.nu,nu,DNSKEY,15,,,,zonefile-nu,oi-2018-08-14-0053,43,sample_openintel.parquet
sig_0045,2018-09-03T05:00:50,dnssec-demo.org,org,CDS,0,0,,,zonefile-org,oi-2018-09-03-0003,44,sample_openintel.parquet
sig_0046,2018-09-04T00:08:54,signed-example.se,se,DNSKEY,13,,,,zonefile-se,oi-2018-09-04-0047,45,sample_openintel.parquet
sig_0047,2018-11-20T00:04:12,keyroll.nu,nu,CDS,0,0,,,zonefile-nu,oi-2018-11-20-0004,46,sample_openintel.parquet
sig_0048,2018-12-04T00:15:59,keyroll.nu,nu,DS,8,1,,,zonefile-nu,oi-2018-12-04-0068,47,sample_openintel.parquet
sig_0049,2019-02-11T00:49:18,example.nl,nl,CDS,0,0,,,zonefile-nl,oi-2019-02-11-0005,48,sample_openintel.parquet
sig_0050,2019-03-25T01:41:39,eddsa-demo.se,se,DNSKEY,15,,,,zonefile-se,oi-2019-03-25-0054,49,sample_openintel.parquet
sig_0051,2019-04-12T04:22:56,example.nl,nl,CDS,,,,,zonefile-nl,oi-2019-04-12-0070,50,sample_openintel.parquet
sig_0052,2019-05-07T01:34:17,rollover-test.net,net,CDS,0,0,,,zonefile-net,oi-2019-05-07-0006,51,sample_openintel.parquet
sig_0053,2019-06-18T02:56:02,dnssec-demo.nl,nl,DS,8,2,,,zonefile-nl,oi-2019-06-18-0035,52,sample_openintel.parquet
sig_0054,2019-07-30T02:35:55,eddsa-demo.se,se,DNSKEY,16,,,,zonefile-se,oi-2019-07-30-0058,53,sample_openintel.parquet
sig_0055,2019-08-19T03:35:13,delete-signal.nl,nl,CDS,0,0,,,zonefile-nl,oi-2019-08-19-0007,54,sample_openintel.parquet
sig_0056,2019-08-26T00:32:02,dnssec-demo.org,org,CDS,,,,,zonefile-org,oi-2019-08-26-0071,55,sample_openintel.parquet
sig_0057,2019-09-17T02:45:42,signed-example.se,se,NSEC3PARAM,1,,,,zonefile-se,oi-2019-09-17-0027,56,sample_openintel.parquet
sig_0058,2019-10-22T04:08:11,example.com,com,RRSIG,8,,,,zonefile-com,oi-2019-10-22-0069,57,sample_openintel.parquet
sig_0059,2019-11-06T00:30:08,dnssec-demo.org,org,DNSKEY,15,,,,zonefile-org,oi-2019-11-06-0055,58,sample_openintel.parquet
sig_0060,2019-12-16T04:38:09,ecdsa-demo.com,com,RRSIG,13,,,,zonefile-com,oi-2019-12-16-0048,59,sample_openintel.parquet
sig_0061,2020-01-13T04:58:06,example.com,com,CDS,0,0,,,zonefile-com,oi-2020-01-13-0008,60,sample_openintel.parquet
sig_0062,2020-02-14T04:27:40,example.com,com,CDS,,,,,zonefile-com,oi-2020-02-14-0072,61,sample_openintel.parquet
sig_0063,2020-04-06T00:25:13,dnssec-demo.org,org,CDS,0,0,,,zonefile-org,oi-2020-04-06-0009,62,sample_openintel.parquet
sig_0064,2020-05-18T02:49:00,eddsa-demo.se,se,DNSKEY,15,,,,zonefile-se,oi-2020-05-18-0056,63,sample_openintel.parquet
sig_0065,2020-07-21T03:35:31,dnssec-demo.nl,nl,DNSKEY,14,,,,zonefile-nl,oi-2020-07-21-0051,64,sample_openintel.parquet
sig_0066,2020-09-29T00:34:22,example.net,net,DS,8,2,,,zonefile-net,oi-2020-09-29-0036,65,sample_openintel.parquet
sig_0067,2020-10-05T04:59:47,keyroll.nu,nu,CDS,0,0,,,zonefile-nu,oi-2020-10-05-0010,66,sample_openintel.parquet
sig_0068,2020-11-30T05:42:21,keyroll.nu,nu,CDS,,,,,zonefile-nu,oi-2020-11-30-0073,67,sample_openintel.parquet
sig_0069,2021-02-01T00:37:02,example.com,com,DNSKEY,15,,,,zonefile-com,oi-2021-02-01-0057,68,sample_openintel.parquet
sig_0070,2021-03-15T04:13:18,example.nl,nl,CDS,0,0,,,zonefile-nl,oi-2021-03-15-0011,69,sample_openintel.parquet
sig_0071,2021-05-11T04:40:19,example.org,org,DS,8,2,,,zonefile-org,oi-2021-05-11-0037,70,sample_openintel.parquet
sig_0072,2021-07-26T03:55:19,rollover-test.net,net,CDS,0,0,,,zonefile-net,oi-2021-07-26-0012,71,sample_openintel.parquet
sig_0073,2021-09-13T02:37:53,dnssec-demo.nl,nl,DNSKEY,16,,,,zonefile-nl,oi-2021-09-13-0059,72,sample_openintel.parquet
