rfc_id,rfc_title,rfc_publication_date,indicator_id,indicator_description,required,weight,queryability,condition_count,fields_used,present_fields,missing_fields,available_from,reasoning,warnings
RFC 5011,Automated Updates of DNS Security (DNSSEC) Trust Anchors,2007-09-01T00:00:00,rfc5011_revoked_key_published,A DNSKEY published with the REVOKE bit set (flags 385 = 256+128+1).,true,8.0,queryable,2,rr_type; flags,rr_type; flags,,rr_type=2010-01-01T00:00:00; flags=2016-01-01T00:00:00,"Indicator rfc5011_revoked_key_published is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), flags (string).","Field `rr_type` is only available from 2010-01-01, which is after RFC 5011's publication date 2007-09-01; adoption before 2010-01-01 cannot be observed through this field.; Field `flags` is only available from 2016-01-01, which is after RFC 5011's publication date 2007-09-01; adoption before 2016-01-01 cannot be observed through this field."
RFC 5155,DNS Security (DNSSEC) Hashed Authenticated Denial of Existence,2008-03-01T00:00:00,rfc5155_nsec3_hash_algorithm,"NSEC3 hash algorithm field present (algorithm 1 = SHA-1, the only value defined by RFC 5155).",false,3.0,queryable,2,rr_type; algorithm,rr_type; algorithm,,rr_type=2010-01-01T00:00:00; algorithm=2010-01-01T00:00:00,"Indicator rfc5155_nsec3_hash_algorithm is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), algorithm (integer).","Field `rr_type` is only available from 2010-01-01, which is after RFC 5155's publication date 2008-03-01; adoption before 2010-01-01 cannot be observed through this field.; Field `algorithm` is only available from 2010-01-01, which is after RFC 5155's publication date 2008-03-01; adoption before 2010-01-01 cannot be observed through this field."
RFC 5155,DNS Security (DNSSEC) Hashed Authenticated Denial of Existence,2008-03-01T00:00:00,rfc5155_nsec3_record_present,NSEC3 or NSEC3PARAM resource record observed.,true,10.0,queryable,1,rr_type,rr_type,,rr_type=2010-01-01T00:00:00,Indicator rfc5155_nsec3_record_present is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string).,"Field `rr_type` is only available from 2010-01-01, which is after RFC 5155's publication date 2008-03-01; adoption before 2010-01-01 cannot be observed through this field."
RFC 5702,Use of SHA-2 Algorithms with RSA in DNSKEY and RRSIG Resource Records for DNSSEC,2009-10-01T00:00:00,rfc5702_rsa_sha2_algorithm,DNSSEC algorithm 8 (RSASHA256) or 10 (RSASHA512).,true,9.0,queryable,1,algorithm,algorithm,,algorithm=2010-01-01T00:00:00,Indicator rfc5702_rsa_sha2_algorithm is queryable because all fields it references exist in the OpenINTEL dictionary: algorithm (integer).,"Field `algorithm` is only available from 2010-01-01, which is after RFC 5702's publication date 2009-10-01; adoption before 2010-01-01 cannot be observed through this field."
RFC 5702,Use of SHA-2 Algorithms with RSA in DNSKEY and RRSIG Resource Records for DNSSEC,2009-10-01T00:00:00,rfc5702_rsa_sha2_on_dnssec_record,Algorithm 8 or 10 carried on a DNSSEC record type.,false,3.0,queryable,2,rr_type; algorithm,rr_type; algorithm,,rr_type=2010-01-01T00:00:00; algorithm=2010-01-01T00:00:00,"Indicator rfc5702_rsa_sha2_on_dnssec_record is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), algorithm (integer).","Field `rr_type` is only available from 2010-01-01, which is after RFC 5702's publication date 2009-10-01; adoption before 2010-01-01 cannot be observed through this field.; Field `algorithm` is only available from 2010-01-01, which is after RFC 5702's publication date 2009-10-01; adoption before 2010-01-01 cannot be observed through this field."
RFC 5933,Use of GOST Signature Algorithms in DNSKEY and RRSIG Resource Records for DNSSEC,2010-07-01T00:00:00,rfc5933_ecc_gost_algorithm,DNSSEC algorithm 12 (ECC-GOST).,true,10.0,queryable,1,algorithm,algorithm,,algorithm=2010-01-01T00:00:00,Indicator rfc5933_ecc_gost_algorithm is queryable because all fields it references exist in the OpenINTEL dictionary: algorithm (integer).,
RFC 5933,Use of GOST Signature Algorithms in DNSKEY and RRSIG Resource Records for DNSSEC,2010-07-01T00:00:00,rfc5933_gost_ds_digest,DS digest type 3 (GOST R 34.11-94).,false,4.0,queryable,2,rr_type; digest_type,rr_type; digest_type,,rr_type=2010-01-01T00:00:00; digest_type=2010-01-01T00:00:00,"Indicator rfc5933_gost_ds_digest is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), digest_type (integer).",
RFC 6605,Elliptic Curve Digital Signature Algorithm (DSA) for DNSSEC,2012-04-01T00:00:00,rfc6605_ecdsa_algorithm,Record uses DNSSEC algorithm 13 or 14 (ECDSA P-256 / P-384).,true,9.0,queryable,1,algorithm,algorithm,,algorithm=2010-01-01T00:00:00,Indicator rfc6605_ecdsa_algorithm is queryable because all fields it references exist in the OpenINTEL dictionary: algorithm (integer).,
RFC 6605,Elliptic Curve Digital Signature Algorithm (DSA) for DNSSEC,2012-04-01T00:00:00,rfc6605_ecdsa_on_key_or_signature,"The ECDSA algorithm appears on a key, delegation or signature record rather than an unrelated record type.",false,3.0,queryable,2,rr_type; algorithm,rr_type; algorithm,,rr_type=2010-01-01T00:00:00; algorithm=2010-01-01T00:00:00,"Indicator rfc6605_ecdsa_on_key_or_signature is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), algorithm (integer).",
RFC 6698,The DNS-Based Authentication of Named Entities (DANE) Transport Layer Security (TLS) Protocol: TLSA,2012-08-01T00:00:00,rfc6698_tlsa_fields_well_formed,The TLSA carries a usage and a matching type from RFC 6698 section 2.1.,false,4.0,queryable,2,tlsa_usage; tlsa_matchtype,tlsa_usage; tlsa_matchtype,,tlsa_usage=2012-08-01T00:00:00; tlsa_matchtype=2012-08-01T00:00:00,"Indicator rfc6698_tlsa_fields_well_formed is queryable because all fields it references exist in the OpenINTEL dictionary: tlsa_usage (integer), tlsa_matchtype (integer).",
RFC 6698,The DNS-Based Authentication of Named Entities (DANE) Transport Layer Security (TLS) Protocol: TLSA,2012-08-01T00:00:00,rfc6698_tlsa_record_present,A TLSA record is published.,true,10.0,queryable,1,rr_type,rr_type,,rr_type=2010-01-01T00:00:00,Indicator rfc6698_tlsa_record_present is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string).,
RFC 6781,"DNSSEC Operational Practices, Version 2",2012-12-01T00:00:00,rfc6781_ksk_zsk_separation,"A DNSKEY with the SEP bit set (flags 257), consistent with a KSK/ZSK split.",true,3.0,ambiguous,2,rr_type; flags,rr_type; flags,,rr_type=2010-01-01T00:00:00; flags=2016-01-01T00:00:00,"Indicator rfc6781_ksk_zsk_separation is ambiguous: every field it references exists in the OpenINTEL dictionary (rr_type (string), flags (string)), so it can be evaluated, but the checklist marks it ambiguous because the same observation is equally well explained by other RFCs, so a match is not uniquely attributable to RFC 6781.","Field `flags` is only available from 2016-01-01, which is after RFC 6781's publication date 2012-12-01; adoption before 2016-01-01 cannot be observed through this field."
RFC 6840,Clarifications and Implementation Notes for DNS Security (DNSSEC),2013-02-01T00:00:00,rfc6840_clarified_dnssec_present,"Base DNSSEC records are present, which RFC 6840 clarifies handling of.",true,2.0,ambiguous,1,rr_type,rr_type,,rr_type=2010-01-01T00:00:00,"Indicator rfc6840_clarified_dnssec_present is ambiguous: every field it references exists in the OpenINTEL dictionary (rr_type (string)), so it can be evaluated, but the checklist marks it ambiguous because the same observation is equally well explained by other RFCs, so a match is not uniquely attributable to RFC 6840.",
RFC 7344,Automating DNSSEC Delegation Trust Maintenance,2014-09-01T00:00:00,rfc7344_cds_cdnskey_present,CDS or CDNSKEY resource record observed.,true,9.0,queryable,1,rr_type,rr_type,,rr_type=2010-01-01T00:00:00,Indicator rfc7344_cds_cdnskey_present is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string).,
RFC 7344,Automating DNSSEC Delegation Trust Maintenance,2014-09-01T00:00:00,rfc7344_cds_publishes_digest,"CDS record publishes a concrete digest type, i.e. the child is advertising a DS to publish rather than requesting deletion.",false,3.0,queryable,2,rr_type; digest_type,rr_type; digest_type,,rr_type=2010-01-01T00:00:00; digest_type=2010-01-01T00:00:00,"Indicator rfc7344_cds_publishes_digest is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), digest_type (integer).",
RFC 7583,DNSSEC Key Rollover Timing Considerations,2015-10-01T00:00:00,rfc7583_rollover_timing_observed,A key rollover was observed to follow RFC 7583 timing.,true,6.0,non_queryable,1,key_rollover_phase,,key_rollover_phase,,Indicator rfc7583_rollover_timing_observed is non-queryable because none of the fields it references exist in the OpenINTEL dictionary: key_rollover_phase. No part of it can ever be evaluated against the measurement corpus.,
RFC 7671,The DNS-Based Authentication of Named Entities (DANE) Protocol: Updates and Operational Guidance,2015-10-01T00:00:00,rfc7671_dane_usage_preferred,TLSA published with usage 2 (DANE-TA) or 3 (DANE-EE).,true,8.0,queryable,2,rr_type; tlsa_usage,rr_type; tlsa_usage,,rr_type=2010-01-01T00:00:00; tlsa_usage=2012-08-01T00:00:00,"Indicator rfc7671_dane_usage_preferred is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), tlsa_usage (integer).",
RFC 7672,SMTP Security via Opportunistic DNS-Based Authentication of Named Entities (DANE) Transport Layer Security (TLS),2015-10-01T00:00:00,rfc7672_smtp_dane_tlsa,A TLSA record published under the _25._tcp SMTP prefix.,true,10.0,partially_queryable,2,rr_type; domain,rr_type,domain,rr_type=2010-01-01T00:00:00,"Indicator rfc7672_smtp_dane_tlsa is partially queryable: rr_type (string) exists in the OpenINTEL dictionary but domain does not, so the conditions on domain fail with field_present=False while the remaining conditions, which carry the indicator's discriminating value, are still evaluated.",
RFC 8078,Managing DS Records from the Parent via CDS/CDNSKEY,2017-03-01T00:00:00,rfc8078_cds_cdnskey_algorithm_zero,CDS or CDNSKEY record with algorithm field 0 (the delete signal).,true,10.0,queryable,2,rr_type; algorithm,rr_type; algorithm,,rr_type=2010-01-01T00:00:00; algorithm=2010-01-01T00:00:00,"Indicator rfc8078_cds_cdnskey_algorithm_zero is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), algorithm (integer).",
RFC 8078,Managing DS Records from the Parent via CDS/CDNSKEY,2017-03-01T00:00:00,rfc8078_delete_signal_digest_zero,"The delete signal also carries digest type 0, as shown in the RFC 8078 example record.",false,3.0,queryable,2,rr_type; digest_type,rr_type; digest_type,,rr_type=2010-01-01T00:00:00; digest_type=2010-01-01T00:00:00,"Indicator rfc8078_delete_signal_digest_zero is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), digest_type (integer).",
RFC 8080,Edwards-Curve Digital Security Algorithm (EdDSA) for DNSSEC,2017-02-01T00:00:00,rfc8080_eddsa_algorithm,Record uses DNSSEC algorithm 15 or 16 (Ed25519 / Ed448).,true,10.0,queryable,1,algorithm,algorithm,,algorithm=2010-01-01T00:00:00,Indicator rfc8080_eddsa_algorithm is queryable because all fields it references exist in the OpenINTEL dictionary: algorithm (integer).,
RFC 8080,Edwards-Curve Digital Security Algorithm (EdDSA) for DNSSEC,2017-02-01T00:00:00,rfc8080_eddsa_on_key_or_signature,"The EdDSA algorithm appears on a key, delegation or signature record.",false,3.0,queryable,2,rr_type; algorithm,rr_type; algorithm,,rr_type=2010-01-01T00:00:00; algorithm=2010-01-01T00:00:00,"Indicator rfc8080_eddsa_on_key_or_signature is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), algorithm (integer).",
RFC 8198,Aggressive Use of DNSSEC-Validated Cache,2017-07-01T00:00:00,rfc8198_aggressive_nsec_use,A resolver synthesised a negative answer from a cached NSEC/NSEC3.,true,6.0,non_queryable,1,resolver_synthesised_nxdomain,,resolver_synthesised_nxdomain,,Indicator rfc8198_aggressive_nsec_use is non-queryable because none of the fields it references exist in the OpenINTEL dictionary: resolver_synthesised_nxdomain. No part of it can ever be evaluated against the measurement corpus.,
RFC 8624,Algorithm Implementation Requirements and Usage Guidance for DNSSEC,2019-06-01T00:00:00,rfc8624_avoids_deprecated_algorithm,"Zone avoids algorithms RFC 8624 marks MUST NOT / NOT RECOMMENDED for signing (1 RSAMD5, 3 DSA, 6 DSA-NSEC3-SHA1, 12 GOST).",false,3.0,ambiguous,2,algorithm,algorithm,,algorithm=2010-01-01T00:00:00; algorithm=2010-01-01T00:00:00,"Indicator rfc8624_avoids_deprecated_algorithm is ambiguous: every field it references exists in the OpenINTEL dictionary (algorithm (integer)), so it can be evaluated, but the checklist marks it ambiguous because the same observation is equally well explained by other RFCs, so a match is not uniquely attributable to RFC 8624.",
RFC 8624,Algorithm Implementation Requirements and Usage Guidance for DNSSEC,2019-06-01T00:00:00,rfc8624_recommended_signing_algorithm,"Zone signs with an algorithm RFC 8624 marks RECOMMENDED (13 ECDSAP256SHA256, 15 Ed25519).",true,5.0,ambiguous,1,algorithm,algorithm,,algorithm=2010-01-01T00:00:00,"Indicator rfc8624_recommended_signing_algorithm is ambiguous: every field it references exists in the OpenINTEL dictionary (algorithm (integer)), so it can be evaluated, but the checklist marks it ambiguous because the same observation is equally well explained by other RFCs, so a match is not uniquely attributable to RFC 8624.",
RFC 8624,Algorithm Implementation Requirements and Usage Guidance for DNSSEC,2019-06-01T00:00:00,rfc8624_validator_algorithm_support,Validating resolver implements the RFC 8624 mandatory-to-implement validation algorithm set.,false,6.0,non_queryable,2,validator_algorithm_support; rr_type,rr_type,validator_algorithm_support,rr_type=2010-01-01T00:00:00,"Indicator rfc8624_validator_algorithm_support is non-queryable: the field carrying its discriminating value, validator_algorithm_support, is absent from the OpenINTEL dictionary, and the only field that remains, rr_type (string), merely scopes which records are considered and is not used by any other RFC 8624 indicator, so nothing testable is left to attribute an observation to RFC 8624.",
RFC 9077,NSEC and NSEC3: TTLs and Aggressive Use,2021-07-01T00:00:00,rfc9077_nsec_ttl_bounded,"NSEC/NSEC3 TTL is capped at the SOA minimum, per RFC 9077.",true,6.0,partially_queryable,2,rr_type; record_ttl,rr_type,record_ttl,rr_type=2010-01-01T00:00:00,"Indicator rfc9077_nsec_ttl_bounded is partially queryable: rr_type (string) exists in the OpenINTEL dictionary but record_ttl does not, so the conditions on record_ttl fail with field_present=False while the remaining conditions, which carry the indicator's discriminating value, are still evaluated.",
RFC 9276,Guidance for NSEC3 Parameter Settings,2022-08-01T00:00:00,rfc9276_empty_nsec3_salt,"NSEC3 published with an empty salt, per RFC 9276 section 3.1.",false,4.0,queryable,2,rr_type; nsec3_salt,rr_type; nsec3_salt,,rr_type=2010-01-01T00:00:00; nsec3_salt=2010-01-01T00:00:00,"Indicator rfc9276_empty_nsec3_salt is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), nsec3_salt (string).",
RFC 9276,Guidance for NSEC3 Parameter Settings,2022-08-01T00:00:00,rfc9276_zero_nsec3_iterations,"NSEC3 published with zero extra iterations, per RFC 9276 section 3.1.",true,10.0,queryable,2,rr_type; nsec3_iterations,rr_type; nsec3_iterations,,rr_type=2010-01-01T00:00:00; nsec3_iterations=2010-01-01T00:00:00,"Indicator rfc9276_zero_nsec3_iterations is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), nsec3_iterations (integer).",
RFC 9364,DNS Security Extensions (DNSSEC),2023-02-01T00:00:00,rfc9364_dnssec_deployed,"DNSSEC is deployed at all, which is what the BCP describes.",true,2.0,ambiguous,1,rr_type,rr_type,,rr_type=2010-01-01T00:00:00,"Indicator rfc9364_dnssec_deployed is ambiguous: every field it references exists in the OpenINTEL dictionary (rr_type (string)), so it can be evaluated, but the checklist marks it ambiguous because the same observation is equally well explained by other RFCs, so a match is not uniquely attributable to RFC 9364.",
RFC 9558,Use of GOST 2012 Signature Algorithms in DNSKEY and RRSIG Resource Records for DNSSEC,2024-04-01T00:00:00,rfc9558_gost2012_algorithm,DNSSEC algorithm 23 (ECC-GOST12).,true,10.0,queryable,1,algorithm,algorithm,,algorithm=2010-01-01T00:00:00,Indicator rfc9558_gost2012_algorithm is queryable because all fields it references exist in the OpenINTEL dictionary: algorithm (integer).,
RFC 9558,Use of GOST 2012 Signature Algorithms in DNSKEY and RRSIG Resource Records for DNSSEC,2024-04-01T00:00:00,rfc9558_gost2012_ds_digest,DS digest type 5 (GOST R 34.11-2012).,false,4.0,queryable,2,rr_type; digest_type,rr_type; digest_type,,rr_type=2010-01-01T00:00:00; digest_type=2010-01-01T00:00:00,"Indicator rfc9558_gost2012_ds_digest is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), digest_type (integer).",
RFC 9563,SM2 Digital Signature Algorithm for DNSSEC,2024-12-01T00:00:00,rfc9563_sm2sm3_algorithm,DNSSEC algorithm 17 (SM2SM3).,true,10.0,queryable,1,algorithm,algorithm,,algorithm=2010-01-01T00:00:00,Indicator rfc9563_sm2sm3_algorithm is queryable because all fields it references exist in the OpenINTEL dictionary: algorithm (integer).,
RFC 9563,SM2 Digital Signature Algorithm for DNSSEC,2024-12-01T00:00:00,rfc9563_sm3_ds_digest,DS digest type 6 (SM3).,false,4.0,queryable,2,rr_type; digest_type,rr_type; digest_type,,rr_type=2010-01-01T00:00:00; digest_type=2010-01-01T00:00:00,"Indicator rfc9563_sm3_ds_digest is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), digest_type (integer).",
RFC 9615,Automatic DNSSEC Bootstrapping Using Authenticated Signals from the Zone's Operator,2024-07-01T00:00:00,rfc9615_bootstrap_signal_label,A CDS/CDNSKEY published under an RFC 9615 _signal bootstrapping label.,true,10.0,non_queryable,2,domain; rr_type,rr_type,domain,rr_type=2010-01-01T00:00:00,"Indicator rfc9615_bootstrap_signal_label is non-queryable: the field carrying its discriminating value, domain, is absent from the OpenINTEL dictionary, and the only field that remains, rr_type (string), merely scopes which records are considered and is not used by any other RFC 9615 indicator, so nothing testable is left to attribute an observation to RFC 9615.",
RFC 9904,DNSSEC Cryptographic Algorithm Recommendation Update Process,2025-11-01T00:00:00,rfc9904_algorithm_guidance_process,Algorithm guidance is sourced from the IANA registry rather than an RFC.,true,5.0,non_queryable,1,guidance_source_registry,,guidance_source_registry,,"Indicator rfc9904_algorithm_guidance_process is non-queryable because none of the fields it references exist in the OpenINTEL dictionary: guidance_source_registry. No part of it can ever be evaluated against the measurement corpus. The checklist additionally marks this indicator ambiguous, so even a full match is not uniquely attributable to RFC 9904.",
RFC 9905,Deprecating the Use of SHA-1 in DNSSEC Signature Algorithms,2025-11-01T00:00:00,rfc9905_deprecated_sha1_in_delegation,A DS or CDS still points at a SHA-1 signature algorithm.,false,4.0,queryable,2,rr_type; algorithm,rr_type; algorithm,,rr_type=2010-01-01T00:00:00; algorithm=2010-01-01T00:00:00,"Indicator rfc9905_deprecated_sha1_in_delegation is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), algorithm (integer).",
RFC 9905,Deprecating the Use of SHA-1 in DNSSEC Signature Algorithms,2025-11-01T00:00:00,rfc9905_deprecated_sha1_signature_still_published,A DNSKEY or RRSIG still uses algorithm 5 or 7 after RFC 9905 deprecated them.,true,9.0,queryable,2,rr_type; algorithm,rr_type; algorithm,,rr_type=2010-01-01T00:00:00; algorithm=2010-01-01T00:00:00,"Indicator rfc9905_deprecated_sha1_signature_still_published is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), algorithm (integer).",
RFC 9906,Deprecate Usage of ECC-GOST within DNSSEC,2025-11-01T00:00:00,rfc9906_deprecated_ecc_gost_still_published,Algorithm 12 (ECC-GOST) is still in use after RFC 9906 retired it.,true,10.0,queryable,1,algorithm,algorithm,,algorithm=2010-01-01T00:00:00,Indicator rfc9906_deprecated_ecc_gost_still_published is queryable because all fields it references exist in the OpenINTEL dictionary: algorithm (integer).,
RFC 9906,Deprecate Usage of ECC-GOST within DNSSEC,2025-11-01T00:00:00,rfc9906_deprecated_gost_digest_still_published,DS digest type 3 (GOST R 34.11-94) is still in use.,false,4.0,queryable,2,rr_type; digest_type,rr_type; digest_type,,rr_type=2010-01-01T00:00:00; digest_type=2010-01-01T00:00:00,"Indicator rfc9906_deprecated_gost_digest_still_published is queryable because all fields it references exist in the OpenINTEL dictionary: rr_type (string), digest_type (integer).",
